36,0,35
0,1,33,24,25
0,6,43,42,38
1,2,23,33,30
1,7,48,18,32
2,3,24,27,15
2,9,42,46,17
3,4,35,71,21
3,10,44,25,16
4,5,29,27,18
4,10,33,19,35
5,11,53,22,38
6,7,39,43,38
6,12,37,28,16
7,8,46,18,17
7,13,74,32,37
8,9,40,13,18
8,14,38,46,24
9,10,51,26,22
9,15,46,41,22
10,11,68,15,18
10,16,40,66,25
11,17,52,27,14
12,13,39,49,26
12,18,55,30,29
13,14,63,33,31
13,19,63,21,28
14,15,45,17,33
14,20,26,56,22
15,16,71,22,35
15,21,56,41,34
16,17,48,47,25
16,22,51,28,33
17,23,37,33,17
18,19,39,51,33
18,24,26,40,22
19,20,63,13,37
19,25,41,36,37
20,21,61,27,21
20,26,75,34,19
21,22,28,64,16
21,27,51,13,34
22,23,59,33,26
22,28,25,24,24
23,29,38,24,33
24,25,38,35,34
24,30,65,22,15
25,26,61,45,34
25,31,50,16,15
26,27,51,29,34
26,32,47,31,37
27,28,23,41,24
27,33,66,31,30
28,29,48,20,28
28,34,45,24,31
29,35,61,42,31
30,31,53,33,24
31,32,49,19,19
32,33,31,27,37
33,34,32,31,26
34,35,34,47,29
